"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
4602,4602,49049,Dredd,2012-09-07,"['Action', 'Science Fiction']",English,6.8,4542,19.477,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stop...",50000000,"['Rena Film', 'DNA Films', 'Reliance Big Entertainment', 'IM Global', 'Peach Trees']",41037742,95,Judgement is coming,-8962258
4604,4604,11319,The Rescuers,1977-06-22,"['Fantasy', 'Family', 'Animation', 'Adventure']",English,6.8,2247,19.474,"What can two little mice possibly do to save an orphan girl who's fallen into evil hands? With a little cooperation and faith in oneself, anything is possible! As members of the mouse-run Internat...",1200000,['Walt Disney Productions'],71215869,78,Two tiny agents vs. the world's wickedest woman in a dazzling animated adventure!,70015869
4605,4605,496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,['Comedy'],English,6.7,4831,19.473,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards b...",18000000,"['20th Century Fox', 'Everyman Pictures', 'Dune Entertainment', 'Four by Two Films', 'Major Studio Partners', 'One America']",262552893,84,"Come to Kazakhstan, it's nice!",244552893
4606,4606,64720,Take Shelter,2011-09-30,"['Thriller', 'Drama', 'Horror']",English,7.0,1529,19.470,"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.",5000000,"['Hydraulx', 'REI Capital', 'Grove Hill Productions', 'Strange Matter Films']",3099314,120,Far away from the cruel world.,-1900686
4607,4607,22021,Coffy,1973-06-13,"['Action', 'Thriller', 'Crime']",English,6.7,199,19.467,"After her younger sister gets involved in drugs and is severely injured by contaminated heroin, a nurse sets out on a mission of vengeance and vigilante justice, killing drug dealers, pimps, and m...",500000,"['American International Pictures', 'Papazian-Hirsch Entertainment International']",4000000,90,The Baddest One-Chick Hit-Squad that ever hit town!,3500000
4608,4608,68734,Argo,2012-10-11,"['Drama', 'Thriller']",English,7.3,7618,19.464,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",44500000,"['GK Films', 'Warner Bros. Pictures', 'Smoke House Pictures']",232325503,120,The movie was fake. The mission was real.,187825503
4609,4609,18162,Land of the Lost,2009-06-05,"['Adventure', 'Comedy', 'Science Fiction']",English,5.4,1170,19.463,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a ...",100000000,"['Universal Pictures', 'Relativity Media', 'Sid & Marty Krofft Pictures', 'Mosaic Media Group']",68688831,102,Right place. Wrong time.,-31311169
4610,4610,290864,Kung Fu Jungle,2014-10-31,"['Action', 'Thriller', 'Crime']",cn,6.7,374,19.462,"A martial arts instructor working at a police academy gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to hel...",25000000,"['Heart & Soul Production', 'Beijing Silver Moon Productions', 'JCE Movies']",129115,100,Nobody's going down without a fight.,-24870885
4611,4611,574060,Gunpowder Milkshake,2021-07-14,"['Action', 'Crime', 'Thriller']",English,6.4,813,19.461,"To protect an 8-year-old girl, a dangerous assassin reunites with her mother and her lethal associates to take down a ruthless crime syndicate and its army of henchmen.",30000000,"['Studio Babelsberg', 'Canal+', 'Ciné+', 'The Picture Company', 'STX Films', 'StudioCanal']",1015760,114,Revenge is best served ice cold.,-28984240
4616,4616,9276,The Faculty,1998-12-25,"['Horror', 'Science Fiction', 'Mystery']",English,6.5,1706,19.455,"When some very creepy things start happening around school, the kids at Herrington High make the chilling discovery that their faculty is being controlled by body-snatching aliens.",15000000,['Los Hooligans Productions'],40283321,104,Take me to your teacher.,25283321
4617,4617,9482,Judge Dredd,1995-06-30,['Science Fiction'],English,5.8,2127,19.448,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",90000000,"['Cinergi Pictures Entertainment', 'Hollywood Pictures']",113493481,96,"In the future, one man is the law.",23493481
4618,4618,1817,Phone Booth,2003-04-04,['Thriller'],English,6.8,3292,19.448,"A slick New York publicist who picks up a ringing receiver in a phone booth is told that if he hangs up, he'll be killed... and the little red light from a laser rifle sight is proof that the call...",13000000,"['Fox 2000 Pictures', 'Zucker/Netter Productions']",97837138,81,No options. No lies. No fear. No deals. Just keep talking.,84837138
4620,4620,60935,The Thing,2011-10-12,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",English,6.2,2570,19.438,"When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation qu...",35000000,"['Universal Pictures', 'Morgan Creek', 'Strike Entertainment']",31505287,103,It's Not Human. Yet.,-3494713
4621,4621,19101,A Little Princess,1995-05-10,"['Drama', 'Family', 'Fantasy']",English,7.6,867,19.432,"When her father enlists to fight for the British in WWI, young Sara Crewe goes to New York to attend the same boarding school her late mother attended. She soon clashes with the severe headmistres...",17000000,['Warner Bros. Pictures'],10015449,97,Every girl everywhere is a princess.,-6984551
4622,4622,8984,Disclosure,1994-03-10,"['Thriller', 'Drama', 'Crime']",English,6.2,1032,19.426,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",55000000,"['Baltimore Pictures', 'Warner Bros. Pictures']",214015089,123,Sex Is Power.,159015089
4623,4623,1957,Enough,2002-05-21,"['Drama', 'Thriller']",English,6.7,1006,19.426,"Working-class waitress Slim thought she was entering a life of domestic bliss when she married Mitch, the man of her dreams. After the arrival of their first child, her picture perfect life is sha...",38000000,['Winkler Films'],51801187,114,Everyone has a limit.,13801187
4625,4625,253,Live and Let Die,1973-07-05,"['Adventure', 'Action', 'Thriller']",English,6.5,1765,19.422,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,7000000,"['United Artists', 'Eon Productions', 'Danjaq']",126377836,121,Roger Moore as James Bond.,119377836
4630,4630,41733,Due Date,2010-11-04,"['Comedy', 'Drama']",English,6.3,4942,19.408,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' li...",65000000,"['Legendary Pictures', 'Green Hat Films', 'Warner Bros. Pictures']",211780824,95,Leave your comfort zone.,146780824
4631,4631,2140,Kiss of the Dragon,2001-07-06,"['Action', 'Crime', 'Thriller']",English,6.8,1030,19.408,"Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.",25000000,"['EuropaCorp', 'Canal+', '20th Century Fox', 'Current Entertainment', 'Quality Growth International Ltd.', 'Immortal Entertainment']",64437847,98,Kiss Fear Goodbye,39437847
4632,4632,11827,Heavy Metal,1981-08-07,"['Animation', 'Science Fiction', 'Adventure', 'Fantasy', 'Music']",English,6.5,588,19.403,"The embodiment of ultimate evil, a glowing orb terrorizes a young girl with bizarre stories of dark fantasy, eroticism and horror.",9300000,"['Canadian Film Development Corporation (CFDC)', 'Columbia Pictures', 'Guardian Trust Company', 'Famous Players', 'Potterton Productions']",20100000,90,A Step Beyond Science Fiction,10800000
4634,4634,6522,Life,1999-04-16,"['Comedy', 'Crime']",English,6.6,668,19.396,Two men in 1930s Mississippi become friends after being sentenced to life in prison together for a crime they did not commit.,80000000,"['Universal Pictures', 'Imagine Entertainment']",73521587,108,Share it with someone you love.,-6478413
4636,4636,583,Life of Brian,1979-08-17,['Comedy'],English,7.8,3883,19.393,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill moth...",4000000,"['HandMade Films', 'Python (Monty) Pictures Limited']",20745728,94,He wasn't the messiah. He was a very naughty boy.,16745728
4638,4638,14560,Paul Blart: Mall Cop,2009-01-15,"['Action', 'Adventure', 'Comedy', 'Family']",English,5.4,2230,19.388,"Mild-mannered Paul Blart has always had huge dreams of becoming a State Trooper. Until then, he patrols the local mall as a security guard. With his closely cropped moustache, personal transporter...",26000000,"['Hey Eddie', 'Columbia Pictures', 'Relativity Media', 'Sony Pictures', 'Happy Madison Productions']",183293131,91,Safety Never Takes A Holiday.,157293131
4641,4641,353616,Pitch Perfect 3,2017-12-20,"['Comedy', 'Music']",English,6.6,3072,19.383,"After the highs of winning the world championships, the Bellas find themselves split apart and discovering there aren't job prospects for making music with your mouth. But when they get the chance...",45000000,"['Gold Circle Films', 'Perfect World Pictures', 'Universal Pictures']",184724494,93,Last Call Pitches,139724494
4642,4642,13536,City by the Sea,2002-09-06,"['Crime', 'Drama', 'Mystery']",English,5.7,298,19.383,"Vincent LaMarca is a dedicated and well-respected New York City police detective who has gone to great lengths to distance himself from his past, but then makes the terrible discovery that his own...",40000000,"['Warner Bros. Pictures', 'Epsilon Motion Pictures', 'Franchise Pictures', 'Brad Grey Pictures', 'Sea Breeze Productions Inc.']",22433915,108,When you're searching for a killer... the last suspect you want to see is your son.,-17566085
4643,4643,6877,Failure to Launch,2006-03-10,"['Comedy', 'Romance']",English,5.8,1483,19.379,"Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and ...",50000000,"['Failure to Launch Productions', 'Paramount', 'Scott Rudin Productions']",128406887,97,"To leave the nest, some men just need a little push.",78406887
4646,4646,6978,Big Trouble in Little China,1986-05-30,"['Action', 'Adventure', 'Comedy', 'Fantasy']",English,7.2,2620,19.368,"When trucker Jack Burton agreed to take his friend, Wang Chi, to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiance...",25000000,"['TAFT Entertainment Pictures', '20th Century Fox']",11000000,99,Adventure doesn't come any bigger!,-14000000
4652,4652,3176,Battle Royale,2000-12-16,"['Drama', 'Thriller', 'Action']",Japanese,7.3,2987,19.348,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",4500000,"['Toei Company', 'WOWOW', 'AM Associates', 'Kobi', 'Nippan Group Holdings', 'MF Pictures', 'GAGA Communications']",30600000,114,Could you kill your best friend?,26100000
4653,4653,2832,Identity,2003-04-25,"['Mystery', 'Thriller']",English,7.2,3393,19.347,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each ot...",28000000,"['Konrad Pictures', 'Columbia Pictures']",90259536,90,The secret lies within.,62259536
4656,4656,300168,Dragon Blade,2015-02-19,"['Adventure', 'History', 'Action', 'Fantasy']",Chinese,6.4,501,19.338,"Huo An, the commander of the Protection Squad of the Western Regions, was framed by evil forces and becomes enslaved. On the other hand, a Roman general escapes to China after rescuing the Prince....",65000000,"['Visualizer Film Company', 'Shanghai Film Group', 'Jackie & JJ Production', 'Sparkle Roll Media', 'Alibaba Pictures Group', 'Home Media & Entertainment Fund', 'Tencent Video', 'China Film & TV Ca...",121545703,127,When the Eagle meets the Dragon,56545703
4659,4659,872,Singin' in the Rain,1952-04-09,"['Comedy', 'Music', 'Romance']",English,8.2,2763,19.334,"In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",2540800,['Metro-Goldwyn-Mayer'],7200000,103,What a Glorious Feeling!,4659200
4662,4662,11838,Ju-on: The Grudge,2002-10-18,['Horror'],Japanese,6.7,672,19.325,"Volunteer home-care worker Rika is assigned to visit a family, she is cursed and chased by two revengeful fiends: Kayako, a woman brutally murdered by her husband and her son Toshio. Each person t...",3500000,"['Oz Company', 'Xanadeux Company', 'Pioneer LDC', 'Nikkatsu Corporation']",3657876,92,When a grudge from the dead passes to the living - Who is safe?,157876
4663,4663,508935,The Eight Hundred,2020-08-14,"['War', 'History', 'Drama', 'Action']",Chinese,7.0,207,19.323,"In 1937, eight hundred Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army.",80000000,"['Beijing Diqi Yinxiang Entertainment', 'Huayi Brothers Pictures', 'Beijing Enlight Pictures', 'Tencent Pictures', 'Huaxia Film Distribution', 'South Australian Film Corporation']",460919368,147,Based on the true story of one of the greatest battles of WWII.,380919368
4664,4664,10992,Cats & Dogs,2001-07-04,"['Family', 'Comedy']",English,5.4,1464,19.323,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet suprema...",60000000,"['Village Roadshow Pictures', 'NPV Entertainment', 'Mad Chance', 'Zide-Perry Productions', 'BenderSpink', 'Warner Bros. Pictures']",93375151,87,Things Are Gonna Get Hairy!,33375151
4668,4668,11046,Where Eagles Dare,1968-12-04,"['Action', 'Adventure', 'War']",English,7.6,757,19.310,"World War II is raging, and an American general has been captured and is being held hostage in the Schloss Adler, a Bavarian castle that's nearly impossible to breach. It's up to a group of skille...",7700000,"['Jerry Gershwin Productions', 'Elliott Kastner Productions', 'Winkast Film Productions', 'Gershwin-Kastner']",21000000,155,"One weekend Major Smith, Lieutenant Schaffer, and a beautiful blonde named Mary decided to win World War II.",13300000
4669,4669,256961,Paul Blart: Mall Cop 2,2015-04-16,"['Action', 'Comedy', 'Family']",English,5.2,1403,19.303,"Security guard Paul Blart is headed to Las Vegas to attend a Security Guard Expo with his teenage daughter Maya before she departs for college. While at the convention, he inadvertently discovers ...",38000000,"['Columbia Pictures', 'Hey Eddie', 'LStar Capital', 'Sony Pictures', 'Happy Madison Productions']",107597242,94,Vegas has a new high roller.,69597242
4671,4671,431530,A Bad Moms Christmas,2017-08-04,['Comedy'],English,6.3,1885,19.299,"Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holid...",28000000,"['STX Films', 'Robert Simonds Productions', 'Suzanne Todd Productions', 'Huayi Brothers Pictures', 'Universal Pictures']",130560428,104,Celebrate the holidays like a mother.,102560428
4674,4674,9992,Arthur and the Invisibles,2006-12-13,"['Adventure', 'Fantasy', 'Animation', 'Family']",English,6.4,2640,19.295,"Arthur is a spirited ten-year old whose parents are away looking for work, whose eccentric grandfather has been missing for several years, and who lives with his grandmother in a country house tha...",86000000,"['Canal+', 'Sofica EuropaCorp', 'Avalanche Productions', 'EuropaCorp', 'The Weinstein Company', 'Metro-Goldwyn-Mayer', 'Metro Voices']",107944236,94,Adventure awaits in your own backyard.,21944236
4675,4675,3175,Barry Lyndon,1975-11-26,"['Drama', 'Romance', 'War']",English,8.0,2464,19.294,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",11000000,"['Hawk Films', 'Peregrine', 'Warner Bros. Pictures']",198992,185,At long last Redmond Barry became a gentleman—and that was his tragedy.,-10801008
4677,4677,8536,Superman II,1980-12-04,"['Science Fiction', 'Action', 'Adventure']",English,6.7,2012,19.292,"Three escaped criminals from the planet Krypton test the Man of Steel's mettle. Led by General Zod, the Kryptonians take control of the White House and partner with Lex Luthor to destroy Superman ...",54000000,"['Dovemead Films', 'Film Export A.G.', 'Warner Bros. Pictures', 'DC Comics']",190458706,127,The Man of Steel meets his match!,136458706
4678,4678,323661,Mune: Guardian of the Moon,2015-02-05,"['Animation', 'Family', 'Adventure', 'Fantasy']",French,7.3,492,19.287,"When a faun named Mune becomes the Guardian of the Moon, little did he had unprepared experience with the Moon and an accident that could put both the Moon and the Sun in danger, including a corru...",17000000,"['Onyx Films', 'ON Animation Studios', 'Kinology', 'Orange Studio']",15730665,86,NaN,-1269335
4681,4681,172391,Khumba,2013-07-18,"['Animation', 'Adventure', 'Family']",English,6.0,228,19.282,A half-striped zebra is blamed for the drought and leaves his herd in search of his missing stripes. He is joined on his quest by an overprotective wildebeest and a flamboyant ostrich; they defeat...,20000000,['Triggerfish'],27187375,85,"Half a zebra, a whole lot of adventure!",7187375
4682,4682,492188,Marriage Story,2019-09-28,['Drama'],English,7.8,6338,19.280,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",18000000,['Heyday Films'],2300000,137,"Where there's a love, there's a way.",-15700000
4683,4683,328387,Nerve,2016-06-27,"['Mystery', 'Adventure', 'Crime']",English,7.1,6450,19.276,"Industrious high school senior Vee Delmonico has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare...",19000000,"['Lionsgate', 'Allison Shearmur Productions', 'Keep Your Head Productions']",85241496,96,We dare you.,66241496
4684,4684,2055,Open Range,2003-08-29,"['Western', 'Action', 'Drama', 'Adventure', 'Romance']",English,7.2,912,19.275,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,22000000,"['Tig Productions', 'Touchstone Pictures', 'Cobalt Media Group', 'Beacon Pictures', 'Allied Filmmakers']",68296293,139,No place to run. No reason to hide.,46296293
4685,4685,387,Das Boot,1981-09-17,"['Drama', 'History', 'War']",German,8.1,1918,19.272,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to the...",14000000,"['Radiant Film GmbH', 'Süddeutscher Rundfunk', 'Bavaria Film', 'Twin Bros. Productions', 'Columbia Pictures', 'WDR']",85000000,150,When the hunters become the hunted.,71000000
4686,4686,9768,Cry-Baby,1990-04-05,"['Comedy', 'Music', 'Romance']",English,6.6,1382,19.271,A prim and proper schoolgirl goes against her grandmother's wishes when she dates a motorcycle-riding juvenile delinquent.,11000000,"['Universal Pictures', 'Imagine Entertainment']",8266343,85,Good girls want him bad. Bad girls want him worse.,-2733657
4687,4687,302401,Snowden,2016-09-15,"['Drama', 'History', 'Crime', 'Thriller']",English,7.1,4006,19.268,CIA employee Edward Snowden leaks thousands of classified documents to the press.,40000000,"['KrautPack Entertainment', 'Vendian Entertainment', 'Endgame Entertainment']",37357216,134,The only safe place is on the run.,-2642784
4688,4688,3512,Under Siege 2: Dark Territory,1995-07-13,"['Action', 'Thriller']",English,5.8,761,19.263,A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can sto...,60000000,"['Regency Enterprises', 'Seagal/Nasso Productions', 'Cutting Edge Films', 'Warner Bros. Pictures', 'JVC']",104324083,100,Last time he rocked the boat. This time the sky's the limit.,44324083
4689,4689,10012,Cursed,2005-02-25,"['Horror', 'Comedy']",English,5.5,619,19.262,"In Los Angeles, siblings Ellie and Jimmy come across an accident on Mulholland Drive. As they try to help the woman caught in the wreckage, a ferocious creature attacks them, devouring the woman a...",35000000,"['Kalis Productions GmbH & Co. Zweite KG', 'Craven-Maddalena Films', 'Outerbanks Entertainment', 'Dimension Films']",19294901,97,What doesn't kill you makes you stronger.,-15705099
4690,4690,10185,The Midnight Meat Train,2008-08-07,"['Horror', 'Mystery', 'Fantasy']",English,6.1,940,19.261,"A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways.",15000000,"['Lakeshore Entertainment', 'Lions Gate Films', 'Midnight Picture Show', 'GreeneStreet Films', 'Lionsgate']",3533227,98,The most terrifying ride you'll ever take,-11466773
4693,4693,8007,Behind Enemy Lines,2001-11-30,"['Action', 'Drama', 'Thriller', 'War']",English,6.3,1259,19.256,"While flying a routine reconnaissance mission over Bosnia, fighter pilot Chris Burnett photographs something he wasn't supposed to see and gets shot down behind enemy lines, where he must outrun a...",40000000,"['Davis Entertainment', '20th Century Fox']",91753202,106,His only weapon is his will to survive.,51753202
4694,4694,376867,Moonlight,2016-10-21,['Drama'],English,7.4,6509,19.255,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while...",4000000,"['A24', 'Plan B Entertainment', 'PASTEL']",65046687,111,This is the story of a lifetime,61046687
4695,4695,227306,Unbroken,2014-12-25,"['Drama', 'War']",English,7.4,3811,19.252,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",65000000,"['Legendary Pictures', 'Jolie Pas', '3 Arts Entertainment']",163442937,137,Survival. Resilience. Redemption.,98442937
4696,4696,322240,Nine Lives,2016-08-03,"['Fantasy', 'Comedy', 'Family']",English,5.7,966,19.251,A stuffy businessman finds himself trapped inside the body of his family's cat.,30000000,"['Fundamental Films', 'EuropaCorp']",57814445,87,His life just got put on paws.,27814445
4697,4697,9457,Deep Rising,1998-01-30,"['Adventure', 'Action', 'Horror', 'Science Fiction']",English,6.2,589,19.251,"A group of heavily armed hijackers board a luxury ocean liner in the South Pacific Ocean to loot it, only to do battle with a series of large-sized, tentacled, man-eating sea creatures who have ta...",45000000,"['Calimari Productions', 'Hollywood Pictures', 'Cinergi Pictures Entertainment']",11203026,106,Full scream ahead,-33796974
4698,4698,283445,Sinister 2,2015-08-19,['Horror'],English,5.9,1933,19.243,A young mother and her twin sons move into a rural house that's marked for death.,10000000,"['Tank Caterpillar', 'Blumhouse Productions', 'Alliance Films', 'Automatik Entertainment', 'Entertainment One', 'IM Global', 'Steady Aim', 'Gramercy Pictures']",53329150,97,Some Things You Can't Unsee.,43329150
4699,4699,9920,Ultraviolet,2006-03-03,"['Science Fiction', 'Action', 'Thriller']",English,5.2,1399,19.243,"In the late 21st century, a subculture of humans have emerged who have been modified genetically by a vampire-like disease, giving them enhanced speed, incredible stamina and acute intelligence. A...",30000000,"['Ultravi Productions', 'Screen Gems']",31070211,87,The blood war is on.,1070211
4700,4700,463272,Johnny English Strikes Again,2018-09-13,"['Action', 'Adventure', 'Comedy']",English,6.3,2212,19.237,Disaster strikes when a criminal mastermind reveals the identities of all active undercover agents in Britain. The secret service can now rely on only one man - Johnny English. Currently teaching ...,25000000,['Working Title Films'],158972499,89,His licence renewed. His intelligence restricted.,133972499
4701,4701,18501,Gamer,2009-09-03,"['Action', 'Thriller', 'Science Fiction']",English,5.7,2131,19.235,"Mind-control technology has taken society by a storm, a multiplayer on-line game called ""Slayers"" allows players to control human prisoners in mass-scale. Simon controls Kable, the online champion...",50000000,"['Lionsgate', 'Lakeshore Entertainment']",40828540,95,"In the near future, you don't live to play... you'll play to live.",-9171460
4707,4707,10477,Driven,2001-04-27,"['Action', 'Drama']",English,5.1,625,19.225,"Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambiti...",94000000,"[""Mel's Cite du Cinema"", 'Epsilon Motion Pictures', 'Franchise Pictures', 'Trackform Film Productions']",54744738,116,Get ready for the race of your life.,-39255262
4710,4710,3594,The Number 23,2007-02-23,"['Thriller', 'Drama', 'Mystery']",English,6.4,2909,19.218,"Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between ...",30000000,"['Firm Films', 'New Line Cinema', 'Contrafilm']",77566815,101,First it takes hold of your mind...then it takes hold of your life.,47566815
4711,4711,12100,Windtalkers,2002-06-14,"['War', 'Drama', 'Action', 'History']",English,6.2,1105,19.215,"Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherab...",115000000,"['Lion Rock Productions', 'Metro-Goldwyn-Mayer']",77628265,134,Honor Was Their Code.,-37371735
4713,4713,1494,Curse of the Golden Flower,2006-12-14,"['Action', 'Drama', 'Fantasy']",Chinese,6.8,639,19.209,During China's Tang dynasty the emperor has taken the princess of a neighboring province as his wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complet...,45000000,"['Beijing New Picture Film Co. Ltd.', 'Elite Group Enterprises', 'Film Partner International', 'Sony Pictures Classics', 'Edko Films', 'Focus Features']",78568977,114,Unspeakable secrets are hidden within the Forbidden City.,33568977
4718,4718,18647,One-Eyed Jacks,1961-03-30,['Western'],English,6.8,174,19.203,"Running from the law after a bank robbery in Mexico, Dad Longworth finds an opportunity to take the stolen gold and leave his partner Rio to be captured. Years later, Rio escapes from the prison w...",6000000,['Pennebaker Productions'],4300000,141,The motion picture that starts its own tradition of greatness.,-1700000
4719,4719,9344,Kids,1995-07-28,"['Drama', 'Crime']",English,6.9,966,19.203,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",1500000,"['Miramax', 'Shining Excalibur Films', 'Independent Pictures', 'Killer Films']",20412216,91,The most controversial film of the decade.,18912216
4721,4721,371608,The Strangers: Prey at Night,2018-03-07,['Horror'],English,5.6,1184,19.201,"A family’s road trip takes a dangerous turn when they arrive at a secluded mobile home park to stay with some relatives and find it mysteriously deserted. Under the cover of darkness, three masked...",12500000,"['Aviron Pictures', 'White Comet Films', 'Bloom', 'Rogue Pictures', 'The Fyzz', 'SoundNode']",31039126,85,Let us prey.,18539126
4724,4724,59108,Tower Heist,2011-11-02,"['Action', 'Comedy']",English,6.1,2656,19.197,"A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely ...",75000000,"['Universal Pictures', 'Image Entertainment', 'Relativity Media', 'Rat Entertainment']",152930623,104,Ordinary guys. An extraordinary robbery.,77930623
4726,4726,17610,Year One,2009-06-18,"['Comedy', 'Adventure']",English,5.0,1691,19.194,"When a couple of lazy hunter-gatherers are banished from their primitive village, they set off on an epic journey through the ancient world.",60000000,"['Columbia Pictures', 'Apatow Productions', 'Ocean Pictures']",62357900,97,Meet your ancestors,2357900
4727,4727,11637,Are We There Yet?,2005-01-20,"['Family', 'Adventure', 'Comedy', 'Romance']",English,5.6,862,19.194,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver f...",32000000,"['Revolution Studios', 'Cube Vision', 'Columbia Pictures']",97918663,95,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,65918663
4729,4729,152760,The Monuments Men,2014-01-24,"['War', 'Drama', 'History', 'Action']",English,6.0,3266,19.192,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators...",70000000,"['20th Century Fox', 'Columbia Pictures', 'Fox 2000 Pictures', 'Smoke House Pictures', 'Obelisk Productions', 'Studio Babelsberg']",154984035,118,It was the greatest art heist in history,84984035
4730,4730,2652,Hard Candy,2005-01-14,"['Drama', 'Thriller']",English,6.8,2286,19.182,"Hayley’s a smart, charming teenage girl. Jeff’s a handsome, smooth fashion photographer. An Internet chat, a coffee shop meet-up, an impromptu fashion shoot back at Jeff’s place. Jeff thinks it’s ...",950000,['Vulcan Productions'],7022209,103,Strangers shouldn't talk to little girls.,6072209
4733,4733,438674,Dragged Across Concrete,2018-09-03,"['Crime', 'Action', 'Thriller']",English,6.6,832,19.172,"Two policemen, one an old-timer, the other his volatile younger partner, find themselves suspended when a video of their strong-arm tactics becomes the media's cause du jour. Low on cash and with ...",15000000,"['Cinestate', 'Look to the Sky Films', 'Unified Pictures', 'Moot Point (Dragged) Productions', 'Realmbuilders Productions', 'Victory Square Technologies', 'The Fyzz', 'Summit Entertainment', 'Bloo...",660132,159,Those who can't earn a living must find another way to provide,-14339868
4734,4734,8337,They Live,1988-11-23,"['Science Fiction', 'Action']",English,7.3,2591,19.168,"Nada, a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world the way it truly is. As he walks the streets of Los Angeles, Nada notices that both the me...",4000000,"['Universal Pictures', 'Alive Films', 'Larry Franco Productions']",13008928,94,You see them on the street. You watch them on TV. You might even vote for one this fall. You think they're people just like you. You're wrong. Dead wrong.,9008928
